age,income,spending_score,credit_score,account_balance,transactions,purchase_decision
25,50000,60,720,15000,45,0
30,62000,72,680,22000,58,1
35,58000,65,700,18000,50,0
40,80000,85,750,30000,80,1
22,45000,55,690,12000,35,0
45,120000,90,780,60000,95,1
38,75000,78,740,32000,80,1
27,52000,59,700,16000,42,0
33,61000,69,725,24000,57,1
41,90000,88,770,45000,88,1
29,58000,68,705,20000,55,0
50,150000,95,800,75000,120,1
28,54000,63,695,17000,48,0
36,72000,76,745,31000,74,1
24,48000,52,685,13000,30,0
39,85000,80,755,40000,84,1
23,44000,50,670,10000,25,0
42,95000,86,775,47000,90,1
31,60000,70,720,23000,59,1
26,51000,58,698,15500,40,0
